year,state,district,disease_name,temperature,humidity,rainfall,ndvi,water_index,cases
2000,Tamil Nadu,Ariyalur,Dengue,34.8,60.1,118.0,0.52,0.49,144
2000,Tamil Nadu,Chengalpattu,Typhoid,32.2,69.9,158.1,0.34,0.65,128
2000,Tamil Nadu,Chennai,Leptospirosis,29.1,61.0,91.8,0.51,0.65,187
2000,Tamil Nadu,Coimbatore,Chikungunya,27.7,78.6,190.6,0.36,0.6,191
2000,Tamil Nadu,Cuddalore,Typhoid,33.5,83.3,121.6,0.64,0.54,120
2000,Tamil Nadu,Dharmapuri,Dengue,31.2,83.5,136.9,0.33,0.54,125
2000,Tamil Nadu,Dindigul,Leptospirosis,26.5,81.6,165.5,0.44,0.65,160
2000,Tamil Nadu,Erode,Malaria,35.6,60.7,194.8,0.69,0.59,109
2000,Tamil Nadu,Kallakurichi,Typhoid,33.9,65.4,170.7,0.52,0.7,192
2000,Tamil Nadu,Kancheepuram,Influenza,27.6,84.9,135.4,0.4,0.68,127
2000,Tamil Nadu,Kanyakumari,Dengue,29.9,70.3,109.9,0.55,0.66,33
2000,Tamil Nadu,Karur,Typhoid,31.3,79.5,111.5,0.37,0.68,166
2000,Tamil Nadu,Krishnagiri,Typhoid,26.6,63.4,149.2,0.63,0.76,84
2000,Tamil Nadu,Madurai,Leptospirosis,32.0,63.7,153.5,0.48,0.72,99
2000,Tamil Nadu,Nagapattinam,Typhoid,29.8,61.9,158.5,0.56,0.45,90
2000,Tamil Nadu,Namakkal,Leptospirosis,27.9,77.8,112.6,0.31,0.52,128
2000,Tamil Nadu,Nilgiris,Influenza,27.7,68.3,198.0,0.53,0.67,157
2000,Tamil Nadu,Perambalur,Malaria,35.5,80.4,144.9,0.59,0.6,23
2000,Tamil Nadu,Pudukkottai,Typhoid,34.6,67.8,123.9,0.69,0.58,71
2000,Tamil Nadu,Ramanathapuram,Leptospirosis,27.8,81.0,96.8,0.5,0.47,195
2000,Tamil Nadu,Ranipet,Leptospirosis,34.6,61.7,192.4,0.47,0.65,76
2000,Tamil Nadu,Salem,Dengue,27.3,75.5,154.8,0.4,0.67,59
2000,Tamil Nadu,Sivagangai,Leptospirosis,30.1,68.0,173.7,0.3,0.51,91
2000,Tamil Nadu,Tenkasi,Typhoid,29.3,73.4,171.6,0.34,0.71,50
2000,Tamil Nadu,Thanjavur,Leptospirosis,28.4,83.2,134.0,0.61,0.59,32
2000,Tamil Nadu,Theni,Leptospirosis,29.7,78.8,147.1,0.67,0.52,91
2000,Tamil Nadu,Thoothukudi,Chikungunya,35.2,66.6,85.1,0.65,0.79,37
2000,Tamil Nadu,Tiruchirappalli,Chikungunya,33.7,62.5,123.5,0.64,0.47,178
2000,Tamil Nadu,Tirunelveli,Malaria,34.8,84.5,96.1,0.6,0.41,109
2000,Tamil Nadu,Tirupathur,Chikungunya,34.2,62.4,101.4,0.34,0.59,70
2000,Tamil Nadu,Tiruppur,Leptospirosis,32.4,83.1,133.4,0.54,0.65,173
